movie_title,title_year,genres,actor_1_name,actor_2_name,actor_3_name,director_name,keywords
Kangaroo Jack,2003.0,Action Adventure Comedy Crime,Estella Warren,Dyan Cannon,Bill Hunter,David McNally,australia body paint kangaroo mob money
Coraline,2009.0,Animation Family Fantasy,Jennifer Saunders,Dawn French,John Hodgman,Henry Selick,dream new home parallel worlds scissors secret door
The Happening,2008.0,Sci-Fi Thriller,Zooey Deschanel,Alan Ruck,Kristen Connolly,M. Night Shyamalan,bee nature park school teacher
Man on Fire,2004.0,Action Crime Drama Thriller,Denzel Washington,Radha Mitchell,Giancarlo Giannini,Tony Scott,bodyguard journalist kidnapping mexico police corruption
The Shaggy Dog,2006.0,Comedy Family Fantasy,Robert Downey Jr.,Joel David Moore,Kristin Davis,Brian Robbins,animal as human dog movie elevator human becoming an animal sheepdog
Starsky & Hutch,2004.0,Comedy Crime,Snoop Dogg,Carmen Electra,Fred Williamson,Todd Phillips,cocaine cop criminal partner police
Jingle All the Way,1996.0,Comedy Family,Jim Belushi,Harvey Korman,Jake Lloyd,Brian Levant,action figure christmas hero karate toy
Hellboy,2004.0,Action Fantasy Horror Sci-Fi,James Babson,Rupert Evans,Brian Steele,Guillermo del Toro,assassin demon hero nazi superhero
A Civil Action,1998.0,Drama,Robert Duvall,Kathleen Quinlan,Sydney Pollack,Steven Zaillian,1980s law firm lawsuit lawyer toxic waste
ParaNorman,2012.0,Adventure Animation Comedy Family Fantasy,Anna Kendrick,Kodi Smit-McPhee,Elaine Stritch,Chris Butler,curse ghost outcast witch zombie
The Jackal,1997.0,Action Adventure Crime Thriller,J.K. Simmons,Bruce Willis,Sophie Okonedo,Michael Caton-Jones,assassin fbi ira jackal russian
Paycheck,2003.0,Action Mystery Sci-Fi Thriller,Ivana Milicevic,Joe Morton,Callum Rennie,John Woo,anti hero babe scientist engineer memory money
Up Close & Personal,1996.0,Drama Romance,Joe Mantegna,Stockard Channing,Raymond Cruz,Jon Avnet,journalism news anchor newscast newscaster tv journalism
The Tale of Despereaux,2008.0,Adventure Animation Comedy Family Fantasy,Emma Watson,Matthew Broderick,Frank Langella,Sam Fell,book darkness dungeon princess rat
Rules of Engagement            ,unknown,Comedy Romance,Bianca Kajlich,Oliver Hudson,Adhir Kalyan,unknown,fiance fiancee magazine editor naivety womanizer
The Tuxedo,2002.0,Action Comedy Sci-Fi,Romany Malco,Debi Mazar,Ritchie Coster,Kevin Donovan,chauffeur hospital secret agent spying tuxedo
Under Siege 2: Dark Territory,1995.0,Action Thriller,Peter Greene,Brenda Bakke,Patrick Kilpatrick,Geoff Murphy,colorado niece satellite terrorist train
Jack Ryan: Shadow Recruit,2014.0,Action Drama Thriller,Colm Feore,Nonso Anozie,Gemma Chan,Kenneth Branagh,covert analyst marine russian spy stock market
Joy,2015.0,Biography Comedy Drama,Jennifer Lawrence,Robert De Niro,Bradley Cooper,David O. Russell,based on real person female inventor mop sales pitch woman holding a shotgun
London Has Fallen,2016.0,Action Crime Drama Thriller,Gerard Butler,Radha Mitchell,Julian Kostov,Babak Najafi,british funeral good versus evil mole sequel
Alien: Resurrection,1997.0,Action Horror Sci-Fi,Gary Dourdan,Michael Wincott,Raymond Cruz,Jean-Pierre Jeunet,alien blood breeding clone scientist
Shooter,2007.0,Action Crime Drama Mystery Thriller,Tate Donovan,Ned Beatty,Louis Ferreira,Antoine Fuqua,colonel ethiopia marksman on the run rangefinder
The Boxtrolls,2014.0,Adventure Animation Comedy Family Fantasy,Isaac Hempstead Wright,Dee Bradley Baker,Tracy Morgan,Graham Annable,chase puppet animation red hat stop motion animation troll
Practical Magic,1998.0,Comedy Drama Fantasy Romance,Goran Visnjic,Dianne Wiest,Stockard Channing,Griffin Dunne,curse death island love magic
The Lego Movie,2014.0,Action Adventure Animation Comedy Family Fantasy,Morgan Freeman,Will Ferrell,Alison Brie,Phil Lord,based on toy dual personality evil businessman good cop bad cop lego
Miss Congeniality 2: Armed and Fabulous,2005.0,Action Comedy Crime,Eileen Brennan,Diedrich Bader,Treat Williams,John Pasquin,bodyguard fbi fbi agent female protagonist undercover
Reign of Fire,2002.0,Action Adventure Fantasy Sci-Fi Thriller,Christian Bale,Gerard Butler,Matthew McConaughey,Rob Bowman,castle dragon fire breathing dragon militia survival
Gangster Squad,2013.0,Action Crime Drama Thriller,Ryan Gosling,Brandon Molale,Wade Williams,Ruben Fleischer,good versus evil machine gun mobster police vigilantism year 1949
Year One,2009.0,Adventure Comedy,Olivia Wilde,Oliver Platt,Xander Berkeley,Harold Ramis,abraham hunter princess sodom tribe
Invictus,2009.0,Biography Drama History Sport,Matt Damon,Morgan Freeman,Leleti Khumalo,Clint Eastwood,apartheid nation nelson mandela president rugby
State of Play,2009.0,Crime Drama Mystery Thriller,Robin Wright,Harry Lennix,Michael Weston,Kevin Macdonald,congressman conspiracy newspaper political conspiracy subway
Duplicity,2009.0,Comedy Crime Romance Thriller,Julia Roberts,Tom Wilkinson,Denis O'Hare,Tony Gilroy,ceo dubai product rivalry spy
My Favorite Martian,1999.0,Comedy Family Sci-Fi,Steven Anthony Lawrence,Ray Walston,Michael Lerner,Donald Petrie,alien hidden camera martian reporter spaceship
The Sentinel,2006.0,Action Crime Thriller,Blair Brown,David Rasche,Martin Donovan,Clark Johnson,first lady framed investigation president secret service
Planet 51,2009.0,Adventure Animation Comedy Family Sci-Fi,Dwayne Johnson,Gary Oldman,James Corden,Jorge Blanco,alien alien planet astronaut planet teenager
Star Trek: Nemesis,2002.0,Action Adventure Sci-Fi Thriller,Tom Hardy,LeVar Burton,Jonathan Frakes,Stuart Baird,earth federation romulan slave space
Intolerable Cruelty,2003.0,Comedy Crime Romance,Cedric the Entertainer,Paul Adelstein,Julia Duffy,Joel Coen,attorney divorce marriage real estate screwball comedy
Trouble with the Curve,2012.0,Drama Sport,Clint Eastwood,Ed Lauter,Bob Gunton,Robert Lorenz,aging baseball baseball scout north carolina pitcher
Edge of Darkness,2010.0,Crime Drama Mystery Thriller,Bojana Novakovic,Ray Winstone,Denis O'Hare,Martin Campbell,activist detective father daughter relationship investigation vigilantism
The Relic,1997.0,Horror Mystery Sci-Fi Thriller,John Kapelos,Penelope Ann Miller,Chi Muoi Lo,Peter Hyams,fire helicopter museum police sergeant relic
Analyze That,2002.0,Comedy Crime,Robert De Niro,Cathy Moriarty,Joe Viterelli,Harold Ramis,blonde mafia mental illness prison second part
Righteous Kill,2008.0,Action Crime Drama Mystery Thriller,Robert De Niro,Al Pacino,50 Cent,Jon Avnet,blood splatter execution new york city nypd serial killer
Mercury Rising,1998.0,Action Crime Drama Thriller,Bruce Willis,Miko Hughes,Carrie Preston,Harold Becker,autistic child boy child in danger fbi nsa
The Soloist,2009.0,Biography Drama Music,Robert Downey Jr.,Stephen Root,Rachael Harris,Joe Wright,columnist journalist los angeles times musician wearing a traffic cone as a hat
The Legend of Bagger Vance,2000.0,Drama Fantasy Sport,Matt Damon,Will Smith,Charlize Theron,Robert Redford,caddy game golf golf course golfer
Almost Famous,2000.0,Adventure Comedy Drama Music,Philip Seymour Hoffman,Zooey Deschanel,Michael Angarano,Cameron Crowe,band magazine rolling stone magazine smoking marijuana tour
Garfield 2,2006.0,Animation Comedy Family Fantasy,Bill Murray,Roger Rees,Ben Falcone,Tim Hill,cat england lti txii peugeot 206 rover 3 5 litre.coupe p5b
xXx: State of the Union,2005.0,Action Adventure Crime Thriller,Sunny Mabrey,Nona Gaye,Xzibit,Lee Tamahori,coup d'etat mutiny president u.s. navy washington d.c.
Priest,2011.0,Action Fantasy Horror Sci-Fi Thriller,Josh Wingate,Alan Dale,Jacob Hopkins,Scott Stewart,church priest sheriff vampire warrior
Sinbad: Legend of the Seven Seas,2003.0,Adventure Animation Comedy Drama Family Fantasy Romance,Brad Pitt,Adriano Giannini,Timothy West,Patrick Gilmore,book framed goddess prince sinbad
Event Horizon,1997.0,Horror Sci-Fi Thriller,Sean Pertwee,Joely Richardson,Kathleen Quinlan,Paul W.S. Anderson,solar system space spaceship starship year 2047
The Avengers,2012.0,Action Adventure Sci-Fi,Chris Hemsworth,Robert Downey Jr.,Scarlett Johansson,Joss Whedon,alien invasion assassin battle iron man soldier
Dragonfly,2002.0,Drama Fantasy Mystery Romance Thriller,Joe Morton,Susanna Thompson,Matt Craven,Tom Shadyac,death doctor grave patient venezuela
The Black Dahlia,2006.0,Crime Drama Mystery Thriller,Scarlett Johansson,Mia Kirshner,Mike Starr,Brian De Palma,black dahlia boxer corpse death partner
Flyboys,2006.0,Action Adventure Drama History Romance War,James Franco,Tyler Labine,Philip Winchester,Tony Bill,american france military pilot training
The Last Castle,2001.0,Action Drama Thriller,Clifton Collins Jr.,Delroy Lindo,Michael Irby,Rod Lurie,colonel general military prison three star general
Supernova,2000.0,Horror Sci-Fi Thriller,Robert Forster,Wilson Cruz,Vanessa Marshall,Walter Hill,deep space distress signal explosion mining rescue
Winter's Tale,2014.0,Drama Fantasy Mystery Romance,Matt Bomer,William Hurt,Kevin Corrigan,Akiva Goldsman,black and white photograph drawing with blood falling through ice playing piano red haired woman
The Mortal Instruments: City of Bones,2013.0,Fantasy Horror Mystery Romance,Aidan Turner,Kevin Zegers,CCH Pounder,Harald Zwart,battle demon magic secret warrior
Meet Dave,2008.0,Adventure Comedy Family Romance Sci-Fi,Marc Blucas,Mike O'Malley,Shawn Christian,Brian Robbins,alien mutiny orb planet spaceship
Dark Water,2005.0,Drama Horror Thriller,Dougray Scott,Camryn Manheim,Ariel Gade,Walter Salles,apartment hello kitty school teacher water
Edtv,1999.0,Comedy Drama,Matthew McConaughey,Adam Goldberg,Clint Howard,Ron Howard,female removes her clothes one word title producer television video store
Inkheart,2008.0,Adventure Family Fantasy,Brendan Fraser,Stephen Graham,Jamie Foreman,Iain Softley,book escape girl overalls villain
The Spirit,2008.0,Action Crime Fantasy Thriller,Scarlett Johansson,Jaime King,Louis Lombardi,Frank Miller,female star appears nude pants falling down samurai white rat woman in a towel
Mortdecai,2015.0,Action Comedy Mystery Romance,Johnny Depp,Olivia Munn,Ulrich Thomsen,David Koepp,art dealer fake painting macguffin moustache stolen painting
In the Name of the King: A Dungeon Siege Tale,2007.0,Action Adventure Fantasy Thriller,Jason Statham,Mike Dopud,Tania Saulnier,Uwe Boll,farmer king krug rescue wizard
Beyond Borders,2003.0,Adventure Drama Romance War,Angelina Jolie Pitt,Teri Polo,Noah Emmerich,Martin Campbell,africa american border doctor well
Xi you ji zhi: Sun Wukong san da Baigu Jing,2016.0,Action Adventure Fantasy,Li Gong,Aaron Kwok,Eddie Peng,Pou-Soi Cheang,buddhism demon journey to the west monk monkey king
The Great Raid,2005.0,Action Drama War,James Franco,Clayne Crawford,Paolo Montalban,John Dahl,american lieutenant colonel mission rescue soldier
Deadpool,2016.0,Action Adventure Comedy Romance Sci-Fi,Ryan Reynolds,Ed Skrein,Stefan Kapicic,Tim Miller,based on comic book breaking the fourth wall mercenary mutant self healing
Holy Man,1998.0,Comedy Drama,Kelly Preston,Morgan Fairchild,Eric McCormack,Stephen Herek,1990s evangelist professional rivalry swimming pool televangelist
American Sniper,2014.0,Action Biography Drama History Thriller War,Bradley Cooper,Leonard Roberts,Keir O'Donnell,Clint Eastwood,assassin death of child iraq sniper sniper rifle
Goosebumps,2015.0,Adventure Comedy Family Fantasy Horror,Odeya Rush,Dylan Minnette,Ken Marino,Rob Letterman,based on book blob ferris wheel manuscript monster
"Sabrina, the Teenage Witch            ",unknown,Comedy Family Fantasy,Nate Richert,Soleil Moon Frye,Caroline Rhea,unknown,female protagonist hereditary gift of witchcraft magic supernatural witch
Just Like Heaven,2005.0,Comedy Fantasy Romance,Jon Heder,Ivana Milicevic,Willie Garson,Mark Waters,apartment architect coma doctor spirit
The Flintstones in Viva Rock Vegas,2000.0,Comedy Family Romance Sci-Fi,Taylor Negron,Mark Addy,Danny Woodburn,Brian Levant,based on tv series love prequel the flintstones title appears in song
Rambo III,1988.0,Action Adventure Thriller War,Sylvester Stallone,Kurtwood Smith,Richard Crenna,Peter MacDonald,afghanistan colonel rambo rescue soviet
Leatherheads,2008.0,Comedy Drama Romance Sport,Robert Baker,Malcolm Goodwin,Matt Bushell,George Clooney,college football fight football hero surrender
The Ridiculous 6,2015.0,Comedy Western,Taylor Lautner,Adam Sandler,Jon Lovitz,Frank Coraci,apache bank robbery baseball half brothers white raised as indian
Did You Hear About the Morgans?,2009.0,Comedy Drama Romance,Michael Kelly,Kim Shaw,Kevin Brown,Marc Lawrence,fbi murder witness witness protection wyoming
The Internship,2013.0,Comedy,Josh Gad,Jessica Szohr,Rob Riggle,Shawn Levy,actor's picture shown in credits animated credits google internship still images in end credits
Resident Evil: Afterlife,2010.0,Action Adventure Horror Sci-Fi,Milla Jovovich,Boris Kodjoe,Shawn Roberts,Paul W.S. Anderson,alaska female gunfighter mutation ship siege
Red Tails,2012.0,Action Adventure Drama History War,David Oyelowo,Nate Parker,Tristan Mack Wilds,Anthony Hemingway,african american battle italy tuskegee airmen world war two
Sex and the City            ,unknown,Comedy Romance,Chris Noth,Kristin Davis,Cynthia Nixon,unknown,casual sex friendship friendship between women gay singles
The Devil's Advocate,1997.0,Drama Mystery Thriller,Keanu Reeves,Al Pacino,Charlize Theron,Taylor Hackford,deal with the devil lawyer money reality supernatural power
That's My Boy,2012.0,Comedy,Adam Sandler,Leighton Meester,Will Forte,Sean Anders,argument reference to vanilla ice statutory rape teacher student relationship teacher student sex
DragonHeart,1996.0,Action Adventure Fantasy,Dennis Quaid,Brian Thompson,Terry O'Neill,Rob Cohen,dragon england human dragon relationship king knight
After the Sunset,2004.0,Action Comedy Crime Drama,Salma Hayek,Don Cheadle,Chris Penn,Brett Ratner,diamond fbi fbi agent island thief
Ghost Rider: Spirit of Vengeance,2011.0,Action Fantasy Thriller,Nicolas Cage,Spencer Wilding,Christopher Lambert,Mark Neveldine,deal with the devil devil eastern europe ghost rider monk
Captain Corelli's Mandolin,2001.0,Drama Music Romance War,Christian Bale,Irene Papas,Mihalis Giannatos,John Madden,captain greek island italian love
Anger Management            ,unknown,Comedy Romance,Barry Corbin,Noureen DeWulf,Brian Austin Green,unknown,anger management argument irony sarcasm therapist
The Pacifier,2005.0,Action Comedy Drama Family Thriller,Vin Diesel,Brad Garrett,Tate Donovan,Adam Shankman,bodyguard death of husband male nanny nanny wrestling match
Walking Tall,2004.0,Action Crime,Dwayne Johnson,Ashley Scott,Michael Bowen,Kevin Bray,casino football sheriff special forces violence
Forrest Gump,1994.0,Comedy Drama,Tom Hanks,Siobhan Fallon Hogan,Sam Anderson,Robert Zemeckis,amputee love vietnam vietnam war war hero
Alvin and the Chipmunks,2007.0,Animation Comedy Family Fantasy Music,Jesse McCartney,Beth Riesgraf,Matthew Gray Gubler,Tim Hill,based on cartoon chipmunk concert fart joke talking animal
Meet the Parents,2000.0,Comedy,Robert De Niro,Blythe Danner,Teri Polo,Jay Roach,cat cia jewish male nurse nurse
Pocahontas,1995.0,Adventure Animation Drama Family History Musical Romance,Christian Bale,Frank Welker,Irene Bedard,Mike Gabriel,actor playing multiple roles love one word title unsubtitled foreign language virginia
Superman,1978.0,Action Adventure Drama Romance Sci-Fi,Marlon Brando,Margot Kidder,Ned Beatty,Richard Donner,1970s clark kent planet superhero year 1978
The Nutty Professor,1996.0,Comedy Romance Sci-Fi,Jada Pinkett Smith,James Coburn,Dave Chappelle,Tom Shadyac,face slap formula overweight professor teacher
Hitch,2005.0,Comedy Romance,Will Smith,Michael Rapaport,Kevin Sussman,Andy Tennant,advice friendship gossip newspaper quitting a job
George of the Jungle,1997.0,Action Adventure Comedy Family Romance,Brendan Fraser,Abraham Benrubi,Holland Taylor,Sam Weisman,animal companion heiress hero jungle male objectification
American Wedding,2003.0,Comedy Romance,Alyson Hannigan,Thomas Ian Nicholas,Fred Willard,Jesse Dylan,bachelor party blow job breasts friend wedding
Captain Phillips,2013.0,Biography Drama Thriller,Tom Hanks,Chris Mulkey,Michael Chernus,Paul Greengrass,hijacking hostage leader ship somalia
Date Night,2010.0,Comedy Crime Romance Thriller,Mila Kunis,James Franco,Steve Carell,Shawn Levy,city new york city night reservation restaurant
Casper,1995.0,Comedy Family Fantasy,Eric Idle,Fred Rogers,Cathy Moriarty,Brad Silberling,casper friendly ghost ghost maine mansion
The Equalizer,2014.0,Action Crime Thriller,Denzel Washington,Chloë Grace Moretz,James Wilcox,Antoine Fuqua,assassin ex soldier gangster hanged man mysterious past
Maid in Manhattan,2002.0,Comedy Drama Romance,Bob Hoskins,Frances Conroy,Natasha Richardson,Wayne Wang,hotel maid new york city place name in title the bronx
Crimson Tide,1995.0,Action Drama Thriller War,Denzel Washington,Viggo Mortensen,Ricky Schroder,Tony Scott,alabama mutiny order radio submarine
The Pursuit of Happyness,2006.0,Biography Drama,Will Smith,Kurt Fuller,James Karen,Gabriele Muccino,bus intern internship salesman stockbroker
Flightplan,2005.0,Drama Mystery Thriller,Erika Christensen,Michael Irby,Haley Ramm,Robert Schwentke,captain flight flight attendant plane search
Disclosure,1994.0,Drama Thriller,Demi Moore,Dylan Baker,Roma Maffia,Barry Levinson,computer marriage non statutory female on male rape promotion sexual harassment
City of Angels,1998.0,Drama Fantasy Romance,Nicolas Cage,Andre Braugher,Colm Feore,Brad Silberling,angel doctor fall heart surgeon hospital
Kill Bill: Vol. 1,2003.0,Action,David Carradine,Vivica A. Fox,Chiaki Kuriyama,Quentin Tarantino,bride coma japan revenge sword
Bowfinger,1999.0,Comedy,Robert Downey Jr.,Adam Alexi-Malle,Jamie Kennedy,Frank Oz,film within a film filmmaking guerrilla filmmaking making of a movie scientology parody
Stargate SG-1            ,unknown,Action Adventure Drama Sci-Fi,Christopher Judge,Don S. Davis,Gary Jones,unknown,2000s 21st century alternate history message from outer space military
Kill Bill: Vol. 2,2004.0,Action Crime Drama Thriller,Vivica A. Fox,Michael Parks,Michael Bowen,Quentin Tarantino,assassin assassination bride death vengeance
Tango & Cash,1989.0,Action Comedy Crime Thriller,Sylvester Stallone,Jack Palance,Brion James,Andrey Konchalovskiy,1980s 80s action escape plea bargain prison
Death Becomes Her,1992.0,Comedy Fantasy Horror,Bruce Willis,Meryl Streep,Isabella Rossellini,Robert Zemeckis,plastic surgeon rejuvenation revenge rival rivalry
Shanghai Noon,2000.0,Action Adventure Comedy Western,Xander Berkeley,Jason Connery,Kate Luyben,Tom Dey,19th century chinese princess rescue travel
Executive Decision,1996.0,Action Adventure Thriller,Oliver Platt,Joe Morton,J.T. Walsh,Stuart Baird,bomb hostage military plane terrorist
Mr. Popper's Penguins,2011.0,Comedy Family Fantasy,Madeline Carroll,Ophelia Lovibond,Philip Baker Hall,Mark Waters,father penguin snowglobe son winter
The Forbidden Kingdom,2008.0,Action Adventure Fantasy,Jet Li,Thomas McDonell,Michael Angarano,Rob Minkoff,monkey king staff teenager urination warrior
Free Birds,2013.0,Adventure Animation Comedy Family,Amy Poehler,Carlos Ponce,Dan Fogler,Jimmy Hayward,chipmunk hunting dog sabotage thanksgiving turkey the bird
Alien 3,1992.0,Action Horror Sci-Fi,Charles S. Dutton,Holt McCallany,Paul McGann,David Fincher,alien crash planet prison survivor
Evita,1996.0,Biography Drama History Musical,Andrea Corr,Jimmy Nail,Peter Polycarpou,Alan Parker,actress argentina military politics singer
Ronin,1998.0,Action Adventure Crime Thriller,Robert De Niro,Natascha McElhone,Michael Lonsdale,John Frankenheimer,case ex kgb ronin russian suitcase
The Ghost and the Darkness,1996.0,Adventure Drama Horror Thriller,Tom Wilkinson,Bernard Hill,Om Puri,Stephen Hopkins,bridge engineer hunter lion railway
Paddington,2014.0,Animation Comedy Family Fantasy,Julie Walters,Matt Lucas,Sally Hawkins,Paul King,bear ear wax cleaning fake newsreel paddington station london taxidermist
The Watch,2012.0,Action Comedy Sci-Fi,Will Forte,Nicholas Braun,Rosemarie DeWitt,Akiva Schaffer,alien escape manager neighborhood watch ohio
The Hunted,2003.0,Action Crime Drama Thriller,Connie Nielsen,Jenna Boyd,Rex Linn,William Friedkin,capture combat fbi hunter special forces
Instinct,1999.0,Drama Thriller,Anthony Hopkins,Maura Tierney,John Ashton,Jon Turteltaub,africa anthropologist murder poacher psychiatrist
Stuck on You,2003.0,Comedy,Matt Damon,Terence Bernie Hines,Seymour Cassel,Bobby Farrelly,actor conjoined twins cook internet short order cook
Semi-Pro,2008.0,Comedy Sport,Will Ferrell,Maura Tierney,Matt Walsh,Kent Alterman,flint michigan merger michigan nba team
The Pirates! Band of Misfits,2012.0,Adventure Animation Comedy Family,Salma Hayek,Russell Tovey,Brian Blessed,Peter Lord,charles darwin cutlass pirate queen victoria scientist
Changeling,2008.0,Crime Drama Mystery Thriller,Angelina Jolie Pitt,Michael Kelly,Colm Feore,Clint Eastwood,execution by hanging los angeles police department miscarriage of justice missing child wrongful conviction
Chain Reaction,1996.0,Action Drama Sci-Fi Thriller,Keanu Reeves,Morgan Freeman,Kevin Dunn,Andrew Davis,cold fusion die hard scenario man with glasses on the run outrunning explosion
The Fan,1996.0,Action Drama Sport Thriller,Robert De Niro,Kurt Fuller,Ellen Barkin,Tony Scott,baseball fan obsession salesman san francisco giants
The Phantom of the Opera,2004.0,Drama Musical Romance Thriller,Gerard Butler,Minnie Driver,Miranda Richardson,Joel Schumacher,based on stage musical based on novel disfigurement mask opera singer
Elizabeth: The Golden Age,2007.0,Biography Drama History War,Eddie Redmayne,Abbie Cornish,Jordi Mollà,Shekhar Kapur,court intrigue queen spain virgin
Æon Flux,2005.0,Action Sci-Fi,Charlize Theron,Sophie Okonedo,Paterson Joseph,Karyn Kusama,based on cult favorite disease female hero female protagonist future
Gods and Generals,2003.0,Drama History War,Billy Campbell,Bruce Boxleitner,John Castle,Ron Maxwell,confederacy hero prequel stonewall jackson war hero
Turbulence,1997.0,Action Thriller,Hector Elizondo,Lauren Holly,Jeffrey DeMunn,Robert Butler,airplane christmas marshal pilot u.s. marshal
Imagine That,2009.0,Comedy Drama Family Fantasy,Stephen Root,Ronny Cox,Richard Schiff,Karey Kirkpatrick,blanket competition family relationships feather sleepover
Muppets Most Wanted,2014.0,Adventure Comedy Crime Family Musical,Ty Burrell,Tina Fey,Hugh Bonneville,James Bobin,europe frog gulag prison break puppet
Thunderbirds,2004.0,Action Adventure Comedy Family Sci-Fi,Sophia Myles,Philip Winchester,Brady Corbet,Jonathan Frakes,astronaut island lady penelope rescue the hood
Burlesque,2010.0,Drama Music Musical Romance,Eric Dane,Peter Gallagher,David Walton,Steve Antin,burlesque dancer iowa small town girl stage
A Very Long Engagement,2004.0,Drama Mystery Romance War,Denis Lavant,André Dussollier,Albert Dupontel,Jean-Pierre Jeunet,court martial death girl no man's land soldier
Lolita,1962.0,Crime Drama Romance,James Mason,Shelley Winters,Lois Maxwell,Stanley Kubrick,lolita nymphet older man young girl relationship professor writer
Eye See You,2002.0,Crime Horror Mystery Thriller,Sylvester Stallone,Tom Berenger,Charles S. Dutton,Jim Gillespie,drill in the eye eye gouging hanged woman murder peep hole
Blade II,2002.0,Action Horror Sci-Fi Thriller,Norman Reedus,Thomas Kretschmann,Tony Curran,Guillermo del Toro,blade the character cult film mutation vampire warrior
Seven Pounds,2008.0,Drama Romance,Will Smith,Rosario Dawson,Madison Pettis,Gabriele Muccino,boyfriend girlfriend relationship heart main character dies organ donor redemption
Bullet to the Head,2012.0,Action Thriller,Sylvester Stallone,Jason Momoa,Jon Seda,Walter Hill,bar bullet corruption detective lawyer
The Godfather: Part III,1990.0,Crime Drama,Al Pacino,Joe Mantegna,Bridget Fonda,Francis Ford Coppola,1970s family relationships mob hit opera repeating history
Elizabethtown,2005.0,Comedy Drama Romance,Orlando Bloom,Kirsten Dunst,Judy Greer,Cameron Crowe,flight flight attendant kentucky shoes travel
"You, Me and Dupree",2006.0,Comedy Romance,Todd Stashwick,Billy Gardell,Amanda Detmer,Anthony Russo,best friend foot fetish houseguest newlywed wedding
Superman II,1980.0,Action Adventure Romance Sci-Fi,Margot Kidder,Ned Beatty,Jackie Cooper,Richard Lester,alien invasion based on comic book flying superhero phantom zone revenge
Gigli,2003.0,Comedy Crime Romance,Todd Giebenhain,Lenny Venito,David Backus,Martin Brest,gangster hospital lesbian mob thug
All the King's Men,2006.0,Drama Thriller,Kate Winslet,Anthony Hopkins,Kevin Dunn,Steven Zaillian,governor journalist louisiana mistress politician
Shaft,2000.0,Action Crime Thriller,Christian Bale,Vanessa Williams,Daniel von Bargen,John Singleton,blaxploitation detective drugs shaft trial
Anastasia,1997.0,Adventure Animation Drama Family Fantasy Musical Mystery Romance,Kirsten Dunst,Kelsey Grammer,Bernadette Peters,Don Bluth,amnesia reference to anastasia romanov romanov russia russian revolution
Moulin Rouge!,2001.0,Drama Musical Romance,Jim Broadbent,Kylie Minogue,Richard Roxburgh,Baz Luhrmann,death of main character eiffel tower paris jealousy tragedy two suitors
Domestic Disturbance,2001.0,Crime Mystery Thriller,Steve Buscemi,Teri Polo,Matt O'Leary,Harold Becker,amateur detective boat builder boy stepfather witness
Black Mass,2015.0,Biography Crime Drama,Johnny Depp,Benedict Cumberbatch,Adam Scott,Scott Cooper,based on true story boston massachusetts fbi agent gangster true crime
Flags of Our Fathers,2006.0,Drama History War,Paul Walker,Chris Bauer,Tom McCarthy,Clint Eastwood,imperial japan japan japanese army japanese soldier world war two
Law Abiding Citizen,2009.0,Crime Drama Thriller,Gerard Butler,Leslie Bibb,Michael Kelly,F. Gary Gray,attorney deal district attorney investigation justice
Grindhouse,2007.0,Action Horror Thriller,Quentin Tarantino,Rosario Dawson,Zoë Bell,Robert Rodriguez,anthropophagus blood and gore double feature real twins playing twins zombie
Beloved,1998.0,Drama History Horror,Oprah Winfrey,Kimberly Elise,Hill Harper,Jonathan Demme,farm freedom ohio slavery spirit
Lucky You,2007.0,Drama Romance Sport,Robert Downey Jr.,Robert Duvall,Kelvin Han Yee,Curtis Hanson,losing poker poker player reference to frederic chopin reference to johannes brahms
Catch Me If You Can,2002.0,Biography Crime Drama,Leonardo DiCaprio,Tom Hanks,Jennifer Garner,Steven Spielberg,attorney cat and mouse fbi pan am pilot
Zero Dark Thirty,2012.0,Drama History Thriller,Jennifer Ehle,Harold Perrineau,Parker Sawyers,Kathryn Bigelow,al qaeda cia interrogation lie navy seal
The Break-Up,2006.0,Comedy Drama Romance,Jon Favreau,John Michael Higgins,Ann-Margret,Peyton Reed,art break up football video game kitchen talking to one's self in a mirror
Mamma Mia!,2008.0,Comedy Family Musical Romance,Colin Firth,Meryl Streep,Julie Walters,Phyllida Lloyd,bride greece island mediterranean wedding
Valentine's Day,2010.0,Comedy Romance,Bradley Cooper,Taylor Lautner,Anne Hathaway,Garry Marshall,flower indian restaurant tv station valentine valentine's day
The Dukes of Hazzard,2005.0,Action Adventure Comedy,Alice Greczyn,Jessica Simpson,Michael Weston,Jay Chandrasekhar,1969 dodge charger bikini farm misogynist tow truck
The Thin Red Line,1998.0,Drama War,Nick Stahl,Miranda Otto,Dash Mihok,Terrence Malick,battle hill jungle multiple perspectives tropical island
The Change-Up,2011.0,Comedy Fantasy,Ryan Reynolds,Olivia Wilde,Mircea Monroe,David Dobkin,best friend fountain law firm lawyer sex
Man on the Moon,1999.0,Biography Comedy Drama,Matt Price,Gerry Becker,Tom Dreesen,Milos Forman,andy kaufman comedian eccentric wrestler wrestling
Casino,1995.0,Biography Crime Drama,Robert De Niro,Don Rickles,Kevin Pollak,Martin Scorsese,car bomb card cheat cash casino gambling syndicate
From Paris with Love,2010.0,Action Thriller,Kasia Smutniak,Amber Rose Revah,Rebecca Dayan,Pierre Morel,ambassador cia dinner spy terrorist
Bulletproof Monk,2003.0,Action Comedy Fantasy,Jaime King,Mako,Victoria Smurfit,Paul Hunter,monastery monk scroll tibetan tibetan monk
